粵拼,意思及例子,粵研社（粵語協會）,侯興泉
ce1,句頭語氣詞，表示不屑（官話常借作「切」）：～，你估我唔知咩！（切，你以為我不知道？）,唓,-
ce2,走，離開：我～,扯,跙
cek3,頭痛：頭～,赤,赤
ceoi2,敲击东西用的器具；用锤子击打,-,錘
ceoi4,气味,-,𡃴
ceon1,【1】卵：雞～【2】睾丸：～袋,春,春
ci1,黏：黐線/黐孖筋（神經病），不要寫為「癡線」,黐,黐
ci1,噴氣：打乞～（打噴嚏）,嗤,-
ci2,用嘴或手把东西撕开或扯开,-,欼
ci4,糯米糰子，有餡：糯米～,糍,-
cik1,拉起，提起,-,摵
cim4,抽：～烏龜（一種撲克遊戲）,撍,-
cing3,提：～起個袋（把袋子提起來）、抽～（挑剔）,掅,掅
cing4,一種缸狀容器，通常用於盛酒：酒～,埕,埕
cing4,剪刀石頭布：猜～鋹（尋）,情,情
cit1,薄：薄～～,切,-
ciu1,看，偏心：四圍～，大細～（由看重看輕引伸為偏心）,超,-
coek3,～頭（吸引人的東西、新意思）,噱,-
coek3,把食物放在滾水裏略微一煮就拿出來：～生菜,灼,灼
coeng3,找續零錢：～散紙（把大張的錢找開）,唱/暢,-
coi1,語氣詞，在某人說了不吉利東西後用該字，以表示不吉利的東西不會靈驗：～！咪講唔吉利嘅嘢（呸，別說些不吉利的話）,啋,-
cok3,用力拉扯；用胁逼、质问等方式 让对方说出真相,-,戳
cok3,耍帥，裝酷：～樣,擢/戳/chok,-
cou3,节约，节省；存钱，攒钱,-,儲
cyun3,囂張，挑釁：好～，～人，～嘴（說話不饒人）,寸/串,-
daai6,搬出某些優勢使別人處於下風：你唔好～我（你不用在我面前虛張聲勢）,大,
daam1,擡頭：～高個頭,擔,
daam1,仰望（天空）：～天望地,覘,
daam6,量詞「口」：食～飯啦（吃口飯吧），得返一～氣（祇剩一口氣）,啖,
daap1,含着口中慢慢嚐味：慢慢～先好味（慢慢嚐才好味）、～糖（咂糖果，引申為對某人產生愛慕）,嗒,
daap6,【1】量詞「疊」，通常指比較厚的一「疊」：一大～（一大疊）、～水（有錢）【2】動詞「疊」～正八點（剛好八點）,沓,
daap8,鎖，逮捕：～住度門，～起佢,鎝,
daat3,絆倒，摔倒：～低,躂,
daat3,【1】用力向下撞擊桌面或地面上以致發出悶響：～生魚、～落地。【2】由【1】引申而來，表示出示，拿出來，擺出來：～個朵出嚟（把大名說出來）、～個工作證出嚟，佢即時畀面（把工作證拿出來）,撻,
daat3,量詞「片」、「塊」：呢～地方（這片地方）、大～地（地攤市場，通常是露天的）,笪,
dai2,【1】值得：件衫好～買（這衣服很實惠）【2】該，活該（由【1】的意義引申而得）：～死（該死）、你咁醒，～你發達（你這麽能幹，發財是無可非議的）,抵,
dai6,翌，「第二」合音：～日，～時,第,
dam2,用拳頭打：～心口（捶胸口）、～你一捶（打你一拳）,揼,
dam2,水聲：～一聲跳落水,沊,
dam2,扔：～石仔（扔小石子）、～咗佢（扔了它）,抌,
dam3,垂下：頭髮長到～落膊頭,髧,
dam3,拖延：～時間，～波鐘（拖時間）,揼,
dan2,【1】基部、基本支持物：橋～（橋墩）、擁躉（支持者）【2】放：～低行李（放下行李）、～喺呢度（放在這裡）,躉,
dan2,胖而矮：肥～～,墩,
dan3,震動、顛簸：路唔平，開車好～（路不平，開車很顛簸）,扽,
dan3,重重地往下放：～爛個花樽,撴,
dang1,把薄質物體綳直：～直張紙,撜,
dang6,伴郎：～豬（穿）石,戥,
dang6,替：～你唔抵（替你可惜）、～秤（充秤）,戥,
dap1,垂下：頭～～（垂頭喪氣的樣子）,耷,
dap6,淋：～雨,溚,
dap6,打，按摩：～佢，～骨,揼,
dat1,頂撞：～人,咄,
dat1,形容肥、矮：肥～～、矮～～,腯,
dau1,摑：～𢃳膺（俗字：～巴星）,兜,
dau1,當面：～口～面,兜,
dau1,如缽之食器，傳統上瓦製：乞兒～，揸～（喻行乞）,兜,
dau3,窩、巢：狗～（狗窩）、雀～（鳥巢）,竇,
dau3,做木工：～木,鬥,
dau6,與「吽」連用：發吽～（發呆）,哣,
dau6,父親：老～（爸爸）,竇,
de2,撒嬌：～聲～氣、～佢男朋友。（向她男朋友撒嬌）,嗲,
de4,像聲詞：水流到～～聲（水流得咚咚聲）、口水～～渧（口水不住地流出來）,嗲,
dei2,副詞，表示有一點兒：傻傻～（有點兒傻）、酸酸～（有點兒酸）,地,
dei6,指複數，相當於「們」：佢～（他們）,哋,
dek3,【1】跑：東～西～（東奔西跑）、未放工，啲人就～晒（未下班，人都走光了）【2】趕走：～人走、～出校,趯,
dek3,搬食糧：～米,糴,
deng3,擲、扔：～石仔（擲小石塊）,掟,
deng6,地方：冇～企（沒地方站）,埞,
deoi1,油炸賀年食品：煎～,堆,
deoi2,捅、伸：～支棍入去（把棍子伸進去）、～冧（殺死）,隊,
deoi3,浮腫：眼～,對,
di1,些：有～人（有些人）,啲,
dik1,突出物，小巧：粒～，～式,的,
dik1,提拿：～起佢（提起他）,扚,
dim2,怎、怎樣、怎麽：～樣、～解（為甚麽）,點,
dim3,接觸、摸：～吓都唔得（摸一下都不行）,掂,
dim6,【1】可以，没問題：搞～（辦妥）、～晒（全部搞好）【2】直：橫～（横直、反正）,𠶧/掂,
din2,輾轉反側，在牀上翻滾：～牀～席,䠄,
ding3,節：喉嚨～（喉核）,椗,
ding6,連詞「還是」，一般用於選擇疑問句，與「定係」相同：你想食蛋糕～麵包？前面轉左～係轉右？,定,
diu2,男子性交動作,屌,
diu3,偏僻：～腳,吊,
